designation,split,y,w,aov_F,amp_snr,max_phase_gap,n_cycles_observed,n_points,loo_worst_chi2,power_ratio,fap,n_visits,n_sectors,baseline_hr,n_outliers_rejected,frac_points_stacked,phase_angle_range_deg,median_n_stack,pk_over_med,pk_prom,pk_snr
(38025) 1998 QF,lcdb,1,0.2,14.628689853583367,1.4080045681287965,0.0039540600624874,777.4026692078992,1467.0,16.011790562331736,1.0,6.265348579995668e-39,8,3,10341.25023368094,10,0.4732566012186865,10.249519089526654,1.0,122.55127781582824,9.608162294378197,115.46690604203398
(38035) 1998 QC85,lcdb,1,0.6,150.3946241058728,4.165587764095991,0.0026989376763317,39.449599062061736,2409.0,1.92834161557913,1.0,0.0,6,1,584.5055369709735,7,0.0,4.61936485563142,1.0,1103.832070804779,45.604836358468766,1045.9895989435497
(38052) 1998 XA7,lcdb,0,0.4,1.3254199090076826,1.7411837850414251,0.0578873971805474,5.695838172435399,115.0,1.966391557376346,1.0,0.8154576107128988,5,2,1197.645847991458,8,1.0,8.812079064156855,7.0,15.010464232639135,1.755275962614808,12.489427182081323
(38140) 1999 JX58,lcdb,1,0.2,2.9877206383410497,0.6020730771094038,0.0072500707152955,140.28004053651773,1638.0,3.084914019418864,1.0,0.0017121350200522,14,4,2033.8574635080297,2,0.999390243902439,19.97636002449017,2.0,21.512985777995407,2.636555283042406,19.67138617355204
(38149) 1999 JY62,lcdb,0,0.4,1.6368503473385083,2.7293444956115285,0.0847703058945769,486.6112433304687,48.0,1.0320461399812395,1.0,0.9967264574932464,5,2,625.3887962217559,2,1.0,0.6326366488280755,34.0,7.857632025045056,1.3241258388977015,6.657846804395648
(38159) 1999 JB73,lcdb,0,0.4,1.908699115312125,0.8069468903262559,0.0121352425984754,10.29312783216169,387.0,1.530151218181526,1.0,0.1255967597251473,7,2,1183.366475075134,2,1.0,13.19737855805298,5.0,15.113848330891932,2.2841651483730843,13.770199350323242
(38167) 1999 JU88,lcdb,1,0.2,1.7832877921655328,1.6033474577502351,0.0631175609872227,237.5077458751805,53.0,0.6469453159215713,1.0,0.0294767604778964,4,1,567.4666141061462,0,1.0,0.935139954788049,29.0,12.008156981406174,1.973726729516216,10.909751138042475
(38180) 1999 JR123,lcdb,1,0.2,2.829318351312095,5.167964196125166,0.1044397523917406,187.97395533274815,40.0,4.3591070023890754,1.0,0.5867932026606465,4,1,540.3021827334305,0,1.0,2.2394288675695293,24.0,8.979945934145583,1.5250968613844231,7.964683907003587
(38197) 1999 LC19,lcdb,1,1.0,145.5731536323875,3.280624887792021,0.0012614499541198,144.23605068577118,2480.0,1.199660849826152,1.0,0.0,5,2,794.0411164707039,1,0.0,14.140392224978278,1.0,917.0416701479568,46.008328733330266,851.7947127598358
(38206) 1999 ML1,lcdb,1,0.2,3.968384749855457,1.440278963072519,0.0206060809504393,21.2754345773264,330.0,4.035883201360436,1.0,5.744904491283562e-05,7,3,1548.8068591458723,2,1.0,10.216435317839188,4.0,27.73396260383598,3.5608322177218454,25.783413354577274
(38212) 1999 NM5,lcdb,0,0.6,3.69396274266837,1.7436802061986325,0.027833402340344,11.146813892567918,233.0,5.327407423952953,1.0,0.1607891753911432,9,3,1602.020769296971,1,1.0,13.007055563743492,9.0,11.829324364564515,1.9365517874111788,10.707562235850924
(38219) 1999 NW19,lcdb,1,0.2,1.7435663619700867,1.073403055790189,0.0316973119338861,397.7424706205888,212.0,1.6938948965016702,1.0,0.4230640625999197,10,3,1670.4528190426645,2,1.0,9.295741342822982,7.0,12.129689775996466,1.9747212875072715,11.079085232705047
(38229) 1999 NG53,lcdb,0,0.6,3.7978483321735688,1.7713694040674504,0.0153583001473418,10.923823875121773,360.0,5.396322098280863,1.0,0.0012422415146841,9,3,1810.3430968426983,18,1.0,9.954925402548009,6.0,18.806892032144013,2.7242688612678356,17.39218909196801
