Number,Name,published_rot_per_hr,U,U_clean,Albedo,period_updated,period_source,period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted,bin,period_hr_naive,justified,ratio
54784,2001 MW3,2.92629,2,2.0,0.2,23.15285320288019,TESS_replaces_wrong_LCDB,23.15285320288019,,2.9560079832962884,(54784) 2001 MW3,1.5320050788893782,218.0,0.0604456347644744,False,2.0,0.9307414874237124,1.0265174710513214,1.0248356712128988,0.9574370071365916,True,False,False,False,"(0.0, 3.0]",11.576426601440096,False,7.912015966592577
32992,1997 AN3,7.688,2,2.0,0.15,22.06088535382816,TESS_replaces_wrong_LCDB,22.06088535382816,,0.4347610141667637,(32992) 1997 AN3,2.5365185210640075,124.0,0.0135765196938158,False,1.0,0.8810879090261594,0.9602573068908684,0.9509449432813832,0.950146435333739,True,False,False,False,"(0.0, 3.0]",11.03044267691408,False,2.8695220283335274
57749,2001 UD220,8.65011,2,2.0,0.2,79.58230652837497,TESS_replaces_wrong_LCDB,79.58230652837497,,3.600074827278206,(57749) 2001 UD220,2.714691290168106,299.0,0.0108023185823895,False,1.0,0.9246400819092172,1.0043066513000805,0.9935269376347124,0.9468030466958578,True,False,False,False,"(0.0, 3.0]",39.791153264187486,False,9.200149654556412
20699,1999 VJ144,2.8,1,1.0,0.055,126.70105612182697,TESS_replaces_wrong_LCDB,126.70105612182697,,21.62518859318339,(20699) 1999 VJ144,2.7329704429867387,620.0,0.0055594066325337,False,2.0,0.9400654568741892,1.0028068163542228,0.9844855235735676,0.9551309939736476,True,False,False,False,"(0.0, 3.0]",126.70105612182697,False,45.25037718636678
70693,1999 UR23,3.05103,2,2.0,0.35,66.42603859120341,TESS_replaces_wrong_LCDB,66.42603859120341,,9.885838322009848,(70693) 1999 UR23,2.3938168561752065,230.0,0.0153326721906347,False,2.0,0.9273925181667784,0.9447164991716036,0.990472941602144,0.9360994760695884,True,False,False,False,"(0.0, 3.0]",33.213019295601704,False,21.771676644019696
116591,2004 BT102,2.82,1,1.0,0.179,83.84798040606667,TESS_replaces_wrong_LCDB,83.84798040606667,,13.866663192565014,(116591) 2004 BT102,1.5219673831458005,128.0,0.031516764501315,False,1.0,0.8627098855203584,1.0204403474740564,0.9899355218381816,0.8903205328955244,True,False,False,False,"(0.0, 3.0]",41.923990203033334,False,29.733326385130027
43325,2000 KY50,2.738,1,1.0,0.057,9.888538720152532,TESS_replaces_wrong_LCDB,9.888538720152532,,0.8057959678876063,(43325) 2000 KY50,2.987091040545371,331.0,0.020343896259957,False,3.0,0.929296973914696,0.9994437358162984,1.019578369226072,0.961811243314422,True,False,False,False,"(0.0, 3.0]",4.944269360076266,False,3.6115919357752126
160246,2002 OV2,3.693,2,2.0,0.057,240.0,TESS_replaces_wrong_LCDB,240.0,,31.49390739236393,(160246) 2002 OV2,2.7435386878060655,278.0,0.0090560779500631,False,1.0,0.8231467822932204,1.0067716612567836,1.0128952665599806,0.928418412708598,True,False,False,False,"(0.0, 3.0]",240.0,False,64.98781478472786
7550,Woolum,3.142,3-,3.0,0.3,90.58473103109048,TESS_replaces_wrong_LCDB,90.58473103109048,,13.415138610931011,(7550) Woolum,2.660340195806244,448.0,0.0097777641961885,False,3.0,0.9417827960454764,1.0076811601125029,1.0001642084538254,0.941892234312373,True,False,False,False,"(0.0, 3.0]",45.292365515545235,False,28.830277221862026
33216,1998 FW96,2.78671,2,2.0,0.1,129.8069344995854,TESS_replaces_wrong_LCDB,129.8069344995854,,22.290355742001392,(33216) 1998 FW96,2.942832717937983,484.0,0.0086437206624199,False,3.0,0.9317059406982212,1.0195640401509878,1.0063313216731866,0.9493703838469728,True,False,False,False,"(0.0, 3.0]",129.8069344995854,False,46.580711484002784
71916,2000 WV48,2.83708,2,2.0,0.2,65.97616797471443,TESS_replaces_wrong_LCDB,65.97616797471443,,10.627477542881136,(71916) 2000 WV48,2.6941602845379875,726.0,0.0032856355697252,False,5.0,0.9620707135730248,0.9838657865054578,0.989174895033512,0.9658864774261584,True,False,False,False,"(0.0, 3.0]",32.988083987357214,False,23.254955085762273
149155,2002 FF12,9.0,1,1.0,0.057,120.41880943242562,TESS_replaces_wrong_LCDB,120.41880943242562,,5.689933857356979,(149155) 2002 FF12,3.418100511984284,538.0,0.0405187640523249,False,3.0,0.8890397753536968,1.0057907342382388,0.9831961771890508,0.9289912417430276,True,False,False,False,"(3.0, 6.0]",60.20940471621281,False,13.379867714713958
39032,2000 UU76,1.0,-,,0.057,75.74247665422263,TESS_replaces_wrong_LCDB,75.74247665422263,,36.871238327111314,(39032) 2000 UU76,3.457316777292619,125.0,0.1256209793490007,False,1.0,0.8751249166123805,0.9510218358492328,0.981855945523834,0.9004120906487303,True,False,False,False,"(3.0, 6.0]",37.871238327111314,False,75.74247665422263
30320,2000 JP17,1.47,2,2.0,0.2,200.7634126684945,TESS_replaces_wrong_LCDB,200.7634126684945,,67.28687505731106,(30320) 2000 JP17,3.043781993240392,106.0,0.0082360063251093,False,1.0,0.8951891391251571,1.0272752254672906,0.9813170633362908,0.9013608886932856,True,False,False,False,"(3.0, 6.0]",200.7634126684945,False,136.57375011462213
70148,1999 NT26,49.162,2-,2.0,0.179,204.6147176209994,TESS_replaces_wrong_LCDB,204.6147176209994,,1.081025157855655,(70148) 1999 NT26,3.458439407341015,205.0,0.022369036158408,False,1.0,0.8996843640712205,0.9631838697039375,0.9496339805320791,0.9249757540232024,True,False,False,False,"(3.0, 6.0]",204.6147176209994,False,4.162050315711309
21558,Alisonliu,4.866,3,3.0,0.19,179.0452639261007,TESS_replaces_wrong_LCDB,179.0452639261007,,17.397581578925266,(21558) Alisonliu,5.0988849102178255,1080.0,0.0115174816188661,False,2.0,0.9235272641461484,1.0032648421307886,0.9993037744691328,0.9374129171855778,True,False,False,False,"(3.0, 6.0]",179.0452639261007,False,36.79516315785053
138948,2001 BR47,27.4347,2,2.0,0.35,153.27726527081302,TESS_replaces_wrong_LCDB,153.27726527081302,,1.7934926438199257,(138948) 2001 BR47,4.92804352733648,299.0,0.2437723645477928,False,1.0,0.8369410601297261,0.9813518400854344,0.9732291236426864,0.8540563684046496,True,False,False,False,"(3.0, 6.0]",153.27726527081302,True,5.586985287639851
48371,1173 T-3,0.77,-,,0.1,108.3736671634785,TESS_replaces_wrong_LCDB,108.3736671634785,,69.37251114511591,(48371) 1173 T-3,5.503286936683525,254.0,0.0232189508151171,False,1.0,0.872088152409065,0.9941525273044304,0.971475381436928,0.8898733836744966,True,False,False,False,"(3.0, 6.0]",54.18683358173925,False,140.74502229023182
35170,1993 TM,29.9841,2,2.0,0.35,3.4864136428810717,TESS_replaces_wrong_LCDB,3.4864136428810717,,0.7674491718690192,(35170) Mizunochisato,5.470238169096512,1116.0,0.8048183023880432,True,42.0,0.946489486406782,1.0030184785284717,0.970104195157336,0.9564972104188408,True,False,False,False,"(3.0, 6.0]",1.7432068214405358,False,0.11627541406549043
33881,2000 JK66,5.97,3,3.0,0.2,98.59255358635708,TESS_replaces_wrong_LCDB,98.59255358635708,,7.257332796177311,(33881) 2000 JK66,3.989636693861591,750.0,0.0154055128418265,False,1.0,0.9234960547162744,0.990816066449888,0.9866945410452744,0.9482047888757578,True,False,False,False,"(3.0, 6.0]",49.296276793178535,False,16.51466559235462
