Number,Name,Period,U,U_clean,Albedo,period_updated,period_source,tess_period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted
42671,1998 HQ68,3.65642,2,2.0,0.35,3.65639904767628,TESS_precision_LCDB_harmonic,3.65639904767628,1.0,5.7302836434791615e-06,(42671) 1998 HQ68,51.04832039604081,2415.0,0.9413402488144058,True,40.0,,,,,,,,False
42672,1998 HL91,6.189,2-,2.0,0.35,6.189,LCDB_native_below_cut,198.1670818797304,,15.009620445930716,(42672) 1998 HL91,2.5459203710237173,214.0,0.0061203078664014,False,1.0,0.82846827486234,0.9834356828813168,0.9947230470602356,0.9325764416517316,True,False,False,False
42675,1998 HW119,3.21154,2,2.0,0.35,3.21154,LCDB_native,,,,,,,,,,,,,,,,,False
42685,1998 JY,60.5186,2,2.0,0.22,60.5186,LCDB_native,,,,,,,,,,,,,,,,,False
42695,1998 KM54,16.058,2,2.0,0.2,16.058,LCDB_native_TESS_disagrees,2.3449787193723504,,0.7079363906623053,(42695) 1998 KM54,2.5531034539906567,58.0,0.0182781198018981,False,0.0,,,,,,,,False
42700,1998 MO10,7.381,2,2.0,0.057,7.381,LCDB_native,,,,,,,,,,,,,,,,,False
42701,1998 MD13,2.603,3,3.0,0.2,2.603,LCDB_native,,,,,,,,,,,,,,,,,False
42714,1998 QW38,9.59611,2,2.0,0.055,9.59611,LCDB_native_rescale_below_cut,5.746823938267059,2.0,0.197740321498411,(42714) 1998 QW38,4.105786399730297,38.0,0.005446417373816,False,0.0,,,,,,,,False
42731,1998 QJ106,26.9792,2,2.0,0.13,26.9792,LCDB_native,,,,,,,,,,,,,,,,,False
42734,1998 RH19,56.1683,2,2.0,0.057,56.1683,LCDB_native,,,,,,,,,,,,,,,,,False
42741,1998 RW65,5.05,3,3.0,0.15,5.05,LCDB_native,,,,,,,,,,,,,,,,,False
42749,1998 SL25,6.97656,2,2.0,0.057,6.97656,LCDB_native,,,,,,,,,,,,,,,,,False
42754,1998 SN60,5.59,2,2.0,0.057,5.59,LCDB_native_rescale_below_cut,2.1284925838360573,2.0,0.2384641918296753,(42754) 1998 SN60,1.1325071069852066,122.0,0.3517539216734877,False,0.0,,,,,,,,False
42756,1998 SA63,1.5,-,,0.057,8.43702742344167,TESS_replaces_wrong_LCDB_VETTED,8.43702742344167,,1.8123424744805567,(42756) 1998 SA63,14.225416777578022,805.0,0.9908362939841812,True,4.0,0.861821151718457,1.0046675337360649,0.9918104109140587,0.9465083795178032,True,False,False,True
42776,Casablanca,19.6576,2,2.0,0.07,19.6576,LCDB_native_rescale_below_cut,33.83219467504823,0.5,0.1394627351495546,(42776) Casablanca,7.000874668779315,814.0,0.2947313722364738,False,4.0,,,,,,,,False
42777,1998 UY30,3.72,-,,0.057,3.72,LCDB_native_rescale_below_cut,2.6673392102298488,1.0,0.282973330583374,(42777) 1998 UY30,2.1067192852500862,120.0,0.0409460424227956,False,0.0,,,,,,,,False
42787,1998 WC16,313.888,2,2.0,0.13,313.888,LCDB_native,,,,,,,,,,,,,,,,,False
42789,1998 XP74,21.4805,2,2.0,0.35,21.4805,LCDB_native_below_cut,6.894589201893273,,0.3580606408702522,(42789) 1998 XP74,5.2549222041631385,1182.0,0.978416164110095,True,8.0,0.9539638236431968,0.9976341494558216,1.0041066149933655,0.961722032003658,True,False,False,False
42795,1999 CO12,19.6686,2,2.0,0.2,19.6686,LCDB_native_TESS_disagrees,190.83714973012184,,3.85131503335575,(42795) Derekmuller,3.204495843117415,945.0,0.0046466179369063,False,0.0,0.9404377934361728,1.0092934998838514,0.9990873020678788,0.947655974504388,True,False,False,False
42800,1999 FB28,16.8336,2,2.0,0.26,16.8336,LCDB_native,,,,,,,,,,,,,,,,,False
42807,1999 JM12,2.8116,2,2.0,0.2,2.8116,LCDB_native,,,,,,,,,,,,,,,,,False
42810,1999 JP72,20.2537,2,2.0,0.2,20.2537,LCDB_native,,,,,,,,,,,,,,,,,False
42811,1999 JN81,3.902,3,3.0,0.3,3.902,LCDB_native,,,,,,,,,,,,,,,,,False
42813,1999 JU121,143.213,2,2.0,0.2,143.213,LCDB_native_rescale_below_cut,143.60403267529904,1.0,0.0027304272328563,(42813) 1999 JU121,87.2161721786585,2563.0,0.4388018563465328,False,2.0,,,,,,,,False
42816,1999 NZ1,4.09577,2,2.0,0.057,4.09577,LCDB_native,,,,,,,,,,,,,,,,,False
42835,1999 NS56,2.49,2+,2.0,0.25,2.49506430689812,TESS_precision_LCDB_harmonic,2.49506430689812,1.0,0.002033858192016,(42835) 1999 NS56,21.195875005939683,3168.0,0.929373681826098,True,45.0,,,,,,,,False
42843,1999 RV11,894.0,2,2.0,0.22,894.0,LCDB_native_TESS_disagrees,180.15656773429703,,0.5969651728539216,(42843) 1999 RV11,79.28414582676047,2617.0,0.1549148471977198,False,0.0,0.6872121818292962,0.4922281750210324,0.5628120989367363,0.7607091758779922,True,True,True,False
42849,Podjavorinska,6.123,2,2.0,0.057,6.123,LCDB_native,,,,,,,,,,,,,,,,,False
42852,1999 RX52,30.4563,2,2.0,0.1,30.4563,LCDB_native,,,,,,,,,,,,,,,,,False
42858,1999 RL88,11.195,2-,2.0,0.35,11.195,LCDB_native_rescale_below_cut,11.195882586073154,1.0,7.883752328297078e-05,(42858) 1999 RL88,2.604707664386608,273.0,0.7566512730889617,True,1.0,,,,,,,,False
42866,1999 RJ104,42.227,2,2.0,0.35,42.227,LCDB_native,,,,,,,,,,,,,,,,,False
42870,1999 RM120,4.3,3-,3.0,0.07,4.3,LCDB_native,,,,,,,,,,,,,,,,,False
